generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
891,0.5530748387888341,0.1497129012177335,0.10486217002346924,0.029721240344749312,0.0009542991318804069,0.0004940030649915456,100.0,0.0,63.9,3.047950130825634,1.0,0.0,4.3,0.6403124237432849,0
892,0.5580229517742668,0.13627297413643227,0.10460184816531148,0.02682867501472031,0.0008543199441280453,0.00044723130544866525,100.0,0.0,64.55,3.6670833096617805,1.05,0.21794494717703372,4.2,0.7483314773547883,0
893,0.5571341854060965,0.1346575151965967,0.10502246735111184,0.02559871208170715,0.0007355735815151447,0.00033678531289198243,100.0,0.0,63.25,2.2555487137279924,1.05,0.21794494717703372,4.2,0.5099019513592784,0
894,0.5472511987401258,0.13864395087205644,0.10654065700298512,0.025120128430879293,0.0007323092388650795,0.0004332856261059098,100.0,0.0,63.4,3.120897306865447,1.15,0.3570714214271425,4.2,0.7483314773547883,0
895,0.5321362024210001,0.13676607494449847,0.10840114577317281,0.024686943674756923,0.0008707579620331849,0.0006104892690073285,100.0,0.0,62.75,3.080178566252288,1.15,0.32015621187164245,3.95,0.739932429347437,0
896,0.5242768839150388,0.1313406381769773,0.10949150490745155,0.024228765322299468,0.0010060489938591018,0.000692255981366642,100.0,0.0,63.5,3.5,1.075,0.23848480035423641,4.45,0.9733961166965893,0
897,0.5122609772399154,0.12381812438117189,0.11180825868953584,0.023313627248763888,0.0010679207090545882,0.0006929783597621707,100.0,0.0,63.2,3.5298725189445577,1.1,0.3,4.45,0.8645808232895291,0
898,0.5108546221843152,0.12920103120371643,0.11166519878368715,0.024610825662698354,0.0011097686873691804,0.0007892305763974674,100.0,0.0,63.8,3.295451410656816,1.05,0.21794494717703372,4.4,0.8602325267042626,0
899,0.510170901458627,0.1400565128370564,0.11243049107715863,0.027048362779521225,0.0010284484386453136,0.00044757240559018457,100.0,0.0,63.55,3.4420197558991443,1.0,0.0,4.1,0.5385164807134504,0
900,0.5087702451820638,0.13931363821313392,0.11349405991233005,0.02668250811517056,0.0008748492520001255,0.00043641339709161585,100.0,0.0,63.4,2.989983277545211,1.1,0.3,4.1,0.7681145747868608,0
901,0.5034797139384121,0.14464501640156155,0.11325147677251121,0.027652701201250105,0.0010443386582028112,0.0006317818514356074,100.0,0.0,64.2,2.6191601707417584,1.075,0.23848480035423641,4.15,0.5722761571129799,0
902,0.5004767675306655,0.14478993732273235,0.11389175226363021,0.028431242128243432,0.001026789412779811,0.000644791351276541,100.0,0.0,62.1,3.223352292257239,1.175,0.36314597615834876,4.3,0.5567764362830021,0
903,0.5059421650830861,0.1461505661075047,0.11260217627758859,0.02870284363965539,0.000986056591564082,0.0005769770318961703,100.0,0.0,63.75,2.2332711434127295,1.025,0.10897247358851683,4.05,0.6689544080129826,0
904,0.49381008663031134,0.1428154603929374,0.11486381317204057,0.028181361959669558,0.0009482072790965116,0.000546599927248243,100.0,0.0,63.7,4.026164427839479,1.15,0.3570714214271425,4.1,0.5385164807134504,0
905,0.4797277414557943,0.14274716684398656,0.11747143196834249,0.029119378682999405,0.0009811530028289096,0.000597321105437882,100.0,0.0,63.5,2.819574435974337,1.0,0.0,4.25,0.6224949798994366,0
906,0.46894045525358746,0.13530573695877168,0.12030311096775607,0.02783584599322644,0.0009101712615612349,0.0004922423620991643,100.0,0.0,62.7,2.934280150224242,1.05,0.21794494717703372,4.25,1.0897247358851685,0
907,0.4590370076381494,0.1306057780510539,0.12228227702649201,0.0283622698486002,0.0009654926419068816,0.0005033911973395111,100.0,0.0,63.15,2.669737814842499,1.05,0.21794494717703372,4.25,0.5361902647381804,0
908,0.45698098193707626,0.13725666876833922,0.12324538909331699,0.030053815289449122,0.0009571052068203601,0.0004043618867320671,100.0,0.0,62.65,2.7436289836637897,1.1,0.3,4.15,0.4769696007084728,0
909,0.4544713065601512,0.14193411404114728,0.12444081937913291,0.031109843943200575,0.0008697872899905547,0.0003254055540242002,100.0,0.0,62.45,3.308700651313141,1.125,0.3112474899497183,4.25,0.9420721840708386,0
910,0.4419912067166978,0.1345515046498554,0.12675262043518506,0.030229411910081327,0.0008412714664487682,0.00041599614924117895,100.0,0.0,62.4,3.839270764090493,1.225,0.40233692348577704,4.2,0.7483314773547882,0
911,0.4233699029179247,0.1303014620428077,0.13077755555940512,0.029182069523155975,0.0007907183298987662,0.0004156194530623486,100.0,0.0,62.25,3.222964473896664,1.025,0.10897247358851683,4.55,0.8046738469715541,0
